_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_relevant_do_you_think_process_fragment_b_is_with_respect_to_activity_a,please_explain_the_reasoning_behind_your_choices_optional,select_all_the_activities_from_process_fragment_b_which_you_think_are_part_of_activity_a,select_all_the_activities_from_process_fragment_b_which_you_think_are_similar_to_activity_a,select_all_the_activities_from_process_fragment_b_which_you_think_include_activity_a,how_relevant_do_you_think_process_fragment_b_is_with_respect_to_activity_a_gold,please_explain_the_reasoning_behind_your_choices_optional_gold,query_node_id,query_node_img,query_node_label,query_process_id,result_group_id,result_group_img,result_group_labels,result_process_id,select_all_the_activities_from_process_fragment_b_which_you_think_are_part_of_activity_a_gold,select_all_the_activities_from_process_fragment_b_which_you_think_are_similar_to_activity_a_gold,select_all_the_activities_from_process_fragment_b_which_you_think_include_activity_a_gold
1308264190,10/16/2017 18:00:14,2924600560,10/16/2017 17:59:38,false,elite,0.9761,43606300,IDN,"","",36.68.176.71,3,,2692,2689,2689,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2687
2689
2692
2693",https://i.imgur.com/mMx14CQ.png,"average grade is good or better
average grade is less than good
provisional acceptance confirmed
provisional acceptance cancelled",83,,,
1308264190,10/16/2017 18:30:28,2924692887,10/16/2017 18:29:47,false,elite,0.8948,43566660,IDN,"","",36.68.176.71,3,,2689,2689,2689,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2687
2689
2692
2693",https://i.imgur.com/mMx14CQ.png,"average grade is good or better
average grade is less than good
provisional acceptance confirmed
provisional acceptance cancelled",83,,,
1308264190,10/16/2017 19:02:43,2924782478,10/16/2017 19:02:11,false,neodev,0.7546,43721661,EGY,"","",156.215.221.153,1,,2689,2687,2689,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2687
2689
2692
2693",https://i.imgur.com/mMx14CQ.png,"average grade is good or better
average grade is less than good
provisional acceptance confirmed
provisional acceptance cancelled",83,,,
1308264191,10/16/2017 18:04:10,2924614130,10/16/2017 18:03:44,false,elite,0.9267,43591170,BRA,26,Catanduvas,177.222.144.178,3,,2704,2708,2704,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2688
2704
2705
2708",https://i.imgur.com/HLcVtRu.png,"sufficient cp in mathematics
less than 16 cp in mathematics
take oral exam
evaluate",83,,,
1308264191,10/16/2017 18:13:15,2924640400,10/16/2017 18:03:43,false,neodev,0.3778,43842917,EGY,11,Cairo,156.202.228.65,1,,NONE,NONE,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2688
2704
2705
2708",https://i.imgur.com/HLcVtRu.png,"sufficient cp in mathematics
less than 16 cp in mathematics
take oral exam
evaluate",83,,,
1308264191,10/16/2017 19:07:38,2924798549,10/16/2017 19:03:47,false,neodev,0.6481,43945784,SRB,00,Beograd,109.92.245.189,3,ok,"2688
2705",2705,2708,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2688
2704
2705
2708",https://i.imgur.com/HLcVtRu.png,"sufficient cp in mathematics
less than 16 cp in mathematics
take oral exam
evaluate",83,,,
1308264192,10/16/2017 18:07:25,2924623919,10/16/2017 18:06:26,false,elite,0.8948,43566660,IDN,"","",36.68.176.71,3,,2691,2706,2691,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2690
2691
2706
2707",https://i.imgur.com/cy9q2Cq.png,"send documents by post
apply online
documents received
check documents",83,,,
1308264192,10/16/2017 19:46:00,2924912285,10/16/2017 19:42:24,false,elite,0.6988,40176271,FIN,13,Helsinki,217.64.42.250,2,Extremely relevant,NONE,NONE,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2690
2691
2706
2707",https://i.imgur.com/cy9q2Cq.png,"send documents by post
apply online
documents received
check documents",83,,,
1308264192,10/16/2017 20:12:57,2925008061,10/16/2017 20:11:10,false,clixsense,0.7374,43706907,VEN,25,Caracas,186.93.93.120,4,,2690,2691,2706,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2690
2691
2706
2707",https://i.imgur.com/cy9q2Cq.png,"send documents by post
apply online
documents received
check documents",83,,,
1308264193,10/16/2017 18:09:51,2924631022,10/16/2017 18:04:46,false,neodev,1.0,40296271,VEN,23,Maracaibo,190.198.119.214,5,,"2696
2697","2694
2709",NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2694
2696
2697
2709",https://i.imgur.com/KGuw0WU.png,"send letter of acceptance
accepted
rejected
send letter of rejection",83,,,
