_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,are_the_two_activities_given_above_similar,if_you_think_the_two_activities_are_similar_how_would_you_describe_their_relationship,please_comment_in_which_sense_these_two_activities_are_similar,please_provide_a_rating_of_how_similar_these_two_activities_are,are_the_two_activities_given_above_similar_gold,false,nodeid_a,nodeid_b,nodelabel_a,nodelabel_b,please_comment_in_which_sense_these_two_activities_are_similar_gold,please_provide_a_rating_of_how_similar_these_two_activities_are_gold,processid_a,processid_b
909070810,3/16/2016 15:55:25,false,1924391728,,3/16/2016 15:52:48,false,clixsense,0.9231,31632760,TUR,35,Izmir,188.3.167.136,yes,_partof,The second activity is PART OF the first activity,3,,,2707,2884,check documents,documents received,,,83,89
909070810,3/16/2016 15:55:29,false,1924391812,,3/16/2016 15:51:56,false,neodev,1.0,33385081,VEN,23,Maracaibo,190.207.3.138,no,,both are totally different,1,,,2707,2884,check documents,documents received,,,83,89
909070810,3/16/2016 15:56:22,false,1924392765,,3/16/2016 15:50:34,false,neodev,0.8333,14265126,MKD,"","",79.126.181.217,no,_partof,The second activity is PART OF the first activity,3,,,2707,2884,check documents,documents received,,,83,89
909070811,3/16/2016 12:34:33,false,1924288252,,3/16/2016 12:32:57,false,clixsense,1.0,35814459,GRC,35,Athens,87.203.110.239,no,_partof,Not similar at all,2,,,2707,2883,check documents,rejected,,,83,89
909070811,3/16/2016 12:39:26,false,1924290732,,3/16/2016 12:33:10,false,clixsense,1.0,16328164,PAK,05,Karachi,39.50.212.246,no,_partof,different,1,,,2707,2883,check documents,rejected,,,83,89
909070811,3/16/2016 12:56:40,false,1924298412,,3/16/2016 12:33:35,false,neodev,1.0,20559745,IDN,04,Jakarta,111.94.189.115,no,_partof,check vs rejected,2,,,2707,2883,check documents,rejected,,,83,89
909070812,3/16/2016 13:21:15,false,1924309591,,3/16/2016 13:18:00,false,neodev,0.9231,36806041,BRA,27,Campinas,179.159.15.88,no,,they're not,1,,,2707,2889,check documents,send letter of rejection,,,83,89
909070812,3/16/2016 13:21:45,false,1924309840,,3/16/2016 13:18:30,false,clixsense,1.0,27122921,PHL,D9,Pinagbuhatan,121.54.54.224,no,partof_,no. it is not similar,1,,,2707,2889,check documents,send letter of rejection,,,83,89
909070812,3/16/2016 13:24:28,false,1924310983,,3/16/2016 13:18:15,false,neodev,0.8462,35938146,ROU,34,Radauti,46.214.156.73,no,_partof,-,2,,,2707,2889,check documents,send letter of rejection,,,83,89
909070813,3/16/2016 12:49:48,false,1924295440,,3/16/2016 12:47:37,false,neodev,1.0,21971187,TTO,08,Valsayn,190.213.132.188,no,partof_,Not similar at all,1,,,2707,2888,check documents,send letter of acceptance,,,83,89
909070813,3/16/2016 12:51:16,false,1924296019,,3/16/2016 12:48:51,false,clixsense,1.0,7648545,HRV,21,Zagreb,161.53.155.11,no,,totally different,1,,,2707,2888,check documents,send letter of acceptance,,,83,89
909070813,3/16/2016 12:53:30,false,1924296893,,3/16/2016 12:51:02,false,neodev,1.0,28584099,VEN,07,Valencia,190.142.11.86,no,_partof,Activities are different,1,,,2707,2888,check documents,send letter of acceptance,,,83,89
909070814,3/16/2016 18:36:18,false,1924554069,,3/16/2016 18:33:07,false,zoombucks,0.9231,9383666,USA,IN,Noblesville,73.146.49.152,no,,not similar,1,,,2707,2893,check documents,rejected,,,83,89
909070814,3/16/2016 18:38:38,false,1924556340,,3/16/2016 18:35:20,false,neodev,1.0,32651442,DZA,01,Algiers,105.102.244.67,no,,no similarities,2,,,2707,2893,check documents,rejected,,,83,89
909070814,3/16/2016 18:39:12,false,1924557007,,3/16/2016 18:35:17,false,clixsense,0.9231,28689847,CHL,06,Concepcion,190.100.123.178,no,partof_,no son lo mismo,3,,,2707,2893,check documents,rejected,,,83,89
909070815,3/16/2016 13:32:20,false,1924314241,,3/16/2016 13:29:57,false,neodev,0.7692,34443633,BGD,81,Dhaka,119.30.45.155,yes,partof_,not similiar,5,,,2707,2894,check documents,check bachelor's degree,,,83,89
909070815,3/16/2016 13:34:11,false,1924314926,,3/16/2016 13:30:59,false,neodev,1.0,28175348,VNM,20,Ho Chi Minh City,27.2.33.133,yes,match,same,7,,,2707,2894,check documents,check bachelor's degree,,,83,89
909070815,3/16/2016 13:35:00,false,1924315316,,3/16/2016 13:31:35,false,elite,1.0,34473616,BIH,"","",91.191.16.138,no,_partof,not similar,3,,,2707,2894,check documents,check bachelor's degree,,,83,89
909070816,3/16/2016 13:13:57,false,1924305676,,3/16/2016 13:10:47,false,neodev,0.7692,31900276,BIH,01,Zenica,31.176.130.74,no,,differently,2,,,2707,2895,check documents,bridging courses > 30 cp,,,83,89
909070816,3/16/2016 13:22:08,false,1924310039,,3/16/2016 13:10:54,false,neodev,1.0,30133997,MEX,25,Los Mochis,187.149.216.183,no,_partof,primero tienes que llevas los papeles y luego ya te asignan las materias,4,,,2707,2895,check documents,bridging courses > 30 cp,,,83,89
909070816,3/16/2016 13:25:25,false,1924311397,,3/16/2016 13:08:57,false,neodev,1.0,21971187,TTO,08,Valsayn,190.213.132.188,no,_partof,Not similar at all,1,,,2707,2895,check documents,bridging courses > 30 cp,,,83,89
909070817,3/16/2016 17:36:42,false,1924514406,,3/16/2016 17:35:08,false,elite,0.8462,31059425,SRB,00,Belgrade,188.117.198.201,no,_partof,could be similar but not sure,3,,,2707,2891,check documents,conduct interview,,,83,89
909070817,3/16/2016 17:39:42,false,1924516116,,3/16/2016 17:36:39,false,tremorgames,0.8462,32094942,LVA,23,Rezekne,85.9.252.94,no,,Not similar at all,1,,,2707,2891,check documents,conduct interview,,,83,89
909070817,3/16/2016 17:46:30,false,1924519471,,3/16/2016 17:39:25,false,neodev,0.7692,33730797,VEN,23,Maracaibo,190.199.52.95,no,,unrelated,1,,,2707,2891,check documents,conduct interview,,,83,89
909070818,3/16/2016 16:02:16,false,1924397926,,3/16/2016 15:58:38,false,neodev,1.0,33385081,VEN,20,San Cristóbal,190.199.97.250,yes,match,both are exactly the same,7,,,2707,2897,check documents,check documents,,,83,89
909070818,3/16/2016 16:02:17,false,1924397941,,3/16/2016 15:56:47,false,clixsense,0.9231,31632760,TUR,35,Izmir,188.3.167.136,yes,match,Very similar (or identical),7,,,2707,2897,check documents,check documents,,,83,89
909070818,3/16/2016 16:20:00,false,1924406107,,3/16/2016 15:56:23,false,neodev,0.8333,14265126,MKD,"","",79.126.181.217,yes,match,SAME,7,,,2707,2897,check documents,check documents,,,83,89
909070819,3/16/2016 14:25:19,false,1924342395,,3/16/2016 14:20:16,false,elite,1.0,33976149,SRB,00,Belgrade,79.101.234.130,no,,not similar,1,,,2707,2892,check documents,go to interview,,,83,89
909070819,3/16/2016 14:27:51,false,1924343969,,3/16/2016 14:22:44,false,clixsense,0.7692,20125513,ESP,07,Palma De Mallorca,62.43.10.188,no,,"* check documents 


* go to interview",2,,,2707,2892,check documents,go to interview,,,83,89
909070819,3/16/2016 14:28:46,false,1924344541,,3/16/2016 14:19:53,false,clixsense,1.0,22778480,GRC,35,Athens,79.167.2.75,no,_partof,diff,1,,,2707,2892,check documents,go to interview,,,83,89
909070820,3/16/2016 13:37:45,false,1924316627,,3/16/2016 13:36:25,false,gifthunterclub,0.9231,27920569,ESP,60,Burriana,83.45.43.255,no,,Nothing,2,,,2707,2890,check documents,send interview invitation,,,83,89
909070820,3/16/2016 13:38:42,false,1924317033,,3/16/2016 13:35:52,false,neodev,0.8462,36774369,BGR,51,Plovdiv,95.158.167.33,no,_partof,Not similar at all.,2,,,2707,2890,check documents,send interview invitation,,,83,89
909070820,3/16/2016 13:39:41,false,1924317457,,3/16/2016 13:36:26,false,clixsense,0.9231,30140011,EGY,11,Cairo,197.33.105.92,no,,Not similar at all,1,,,2707,2890,check documents,send interview invitation,,,83,89
909070821,3/16/2016 13:24:44,false,1924311103,,3/16/2016 13:21:58,false,neodev,0.8462,22168449,VEN,"","",190.204.207.168,yes,_partof,documents,4,,,2707,2898,check documents,forward documents,,,83,89
909070821,3/16/2016 13:25:55,false,1924311662,,3/16/2016 13:21:31,false,neodev,1.0,28175348,VNM,20,Ho Chi Minh City,27.2.33.133,no,partof_,check documents different  forward documents,1,,,2707,2898,check documents,forward documents,,,83,89
909070821,3/16/2016 13:32:23,false,1924314280,,3/16/2016 13:20:53,false,clixsense,1.0,31027621,IND,16,Pune,122.15.197.236,no,,Not similar,1,,,2707,2898,check documents,forward documents,,,83,89
909070822,3/16/2016 12:32:55,false,1924287639,,3/16/2016 12:30:53,false,clixsense,1.0,35814459,GRC,35,Athens,87.203.110.239,no,_partof,Not similar,3,,,2707,2899,check documents,documents received,,,83,89
909070822,3/16/2016 12:36:37,false,1924289359,,3/16/2016 12:30:19,false,clixsense,0.9231,20216233,IND,25,Chennai,106.51.1.156,no,,not same,1,,,2707,2899,check documents,documents received,,,83,89
909070822,3/16/2016 13:01:38,false,1924300343,,3/16/2016 13:00:21,false,clixsense,1.0,30381282,BIH,01,Visoko,77.221.24.44,no,_partof,NONE,4,,,2707,2899,check documents,documents received,,,83,89
909070823,3/16/2016 14:28:38,false,1924344480,,3/16/2016 14:26:43,false,neodev,1.0,36360111,SRB,00,Sombor,188.2.160.180,no,_partof,Not similar,2,,,2707,2887,check documents,evaluate,,,83,89
909070823,3/16/2016 14:30:29,false,1924345505,,3/16/2016 14:25:58,false,elite,0.9231,31856031,BIH,01,Sarajevo,188.127.102.89,no,,Not similar,1,,,2707,2887,check documents,evaluate,,,83,89
909070823,3/16/2016 14:36:15,false,1924348436,,3/16/2016 14:27:52,false,clixsense,0.7692,20125513,ESP,07,Palma De Mallorca,62.43.10.188,no,,"* check documents 


* evaluate",2,,,2707,2887,check documents,evaluate,,,83,89
909070824,3/16/2016 13:29:44,false,1924313290,,3/16/2016 13:27:33,false,neodev,0.7692,34443633,BGD,81,Dhaka,119.30.45.155,no,_partof,not similiar,3,,,2707,2896,check documents,bridging courses < 30 cp,,,83,89
909070824,3/16/2016 13:30:05,false,1924313457,,3/16/2016 13:28:10,false,neodev,0.8462,22168449,VEN,"","",190.204.207.168,no,_partof,check documents,2,,,2707,2896,check documents,bridging courses < 30 cp,,,83,89
909070824,3/16/2016 13:31:34,false,1924313940,,3/16/2016 13:26:47,false,elite,1.0,34473616,BIH,"","",91.191.16.138,no,_partof,not similar,3,,,2707,2896,check documents,bridging courses < 30 cp,,,83,89
909070825,3/16/2016 18:22:46,false,1924542827,,3/16/2016 18:21:30,false,clixsense,1.0,31293498,BGR,42,Sofia,87.120.74.96,no,_partof,Not similar at all,1,,,2707,2886,check documents,apply online,,,83,89
909070825,3/16/2016 18:35:16,false,1924553142,,3/16/2016 18:28:05,false,clixsense,0.9231,28689847,CHL,06,Concepcion,190.100.123.178,no,,no son lo mismo,1,,,2707,2886,check documents,apply online,,,83,89
909070825,3/16/2016 18:35:19,false,1924553196,,3/16/2016 18:32:46,false,neodev,1.0,32651442,DZA,01,Algiers,105.102.244.67,no,,no similarities,2,,,2707,2886,check documents,apply online,,,83,89
909070826,3/16/2016 14:06:37,false,1924331554,,3/16/2016 14:04:16,false,clixsense,0.9231,34920637,VEN,25,Caracas,200.84.101.254,no,partof_,Not,3,,,2707,2885,check documents,send documents by post,,,83,89
909070826,3/16/2016 14:07:03,false,1924331855,,3/16/2016 14:05:06,false,elite,0.8462,34676955,BRA,27,São Paulo,200.142.128.16,no,,not similar,1,,,2707,2885,check documents,send documents by post,,,83,89
909070826,3/16/2016 14:09:47,false,1924333430,,3/16/2016 14:04:36,false,elite,0.8182,36347557,IDN,08,Surabaya,125.164.4.97,no,partof_,ok,3,,,2707,2885,check documents,send documents by post,,,83,89
909070827,3/16/2016 14:18:06,false,1924338490,,3/16/2016 14:15:36,false,clixsense,1.0,22778480,GRC,35,Athens,79.167.2.75,no,_partof,diff,1,,,2704,2884,less than 16 cp in mathematics,documents received,,,83,89
909070827,3/16/2016 14:20:58,false,1924340017,,3/16/2016 14:17:27,false,neodev,1.0,33995512,RUS,38,Krasnodar,95.30.177.167,no,match,Not similar at all,1,,,2704,2884,less than 16 cp in mathematics,documents received,,,83,89
909070827,3/16/2016 14:29:29,false,1924344876,,3/16/2016 14:17:05,false,elite,1.0,36064475,BRA,15,Belo Horizonte,187.20.94.60,no,,none,1,,,2704,2884,less than 16 cp in mathematics,documents received,,,83,89
