_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,are_there_any_reasonable_activity_matches_in_the_two_process_fragments_shown_above,b1,b10,b2,b3,b4,b5,b6,b7,b8,b9,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,sim1,sim10,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,are_there_any_reasonable_activity_matches_in_the_two_process_fragments_shown_above_gold,fragmenta,fragmentb,processa,processb,urla,urlb
904940170,3/12/2016 18:41:01,false,1920825835,,3/12/2016 18:39:42,false,elite,1.0,36322980,ROU,23,Iasi,79.118.82.242,apply online,None,send documents by post,documents received,check documents,None,None,None,None,None,Yes,apply online,None,send documents by post,documents received,check bachelors degree,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,B part of A,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,7,,7,7,4,,,,,,,f1,f1,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f1.png
904940170,3/12/2016 18:46:43,false,1920832101,,3/12/2016 18:42:27,false,elite,0.8,33479167,ITA,16,Florence,93.151.226.229,apply online,None,send documents by post,documents received,check documents,None,None,None,None,None,Yes,apply online,None,send documents by post,documents received,check bachelors degree,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,7,,7,7,5,,,,,,,f1,f1,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f1.png
904940170,3/12/2016 18:57:35,false,1920847145,,3/12/2016 18:56:01,false,clixsense,1.0,29807478,VEN,06,Upata,181.225.32.36,apply online,None,send documents by post,documents received,None,None,None,None,None,None,Yes,apply online,None,send documents by post,documents received,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,7,,7,7,,,,,,,,f1,f1,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f1.png
904940171,3/12/2016 18:59:16,false,1920849400,,3/12/2016 18:58:10,false,clixsense,1.0,29807478,VEN,06,Upata,181.225.32.36,documents received,None,check documents,None,None,None,None,None,None,None,Yes,documents received,None,check documents,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,7,,7,,,,,,,,,f1,f2,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f2.png
904940171,3/12/2016 19:20:26,false,1920882088,,3/12/2016 19:19:39,false,elite,1.0,25411289,HRV,21,Zagreb,31.147.111.88,check documents,None,documents received,None,None,None,None,None,None,None,Yes,check documents,None,documents received,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,7,,7,,,,,,,,,f1,f2,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f2.png
904940171,3/12/2016 19:21:40,false,1920884098,,3/12/2016 19:20:41,false,clixsense,1.0,31293498,BGR,42,Sofia,87.120.74.96,documents received,None,None,None,None,None,None,None,None,None,Yes,documents received,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,7,,,,,,,,,,,f1,f2,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f2.png
904940172,3/12/2016 18:34:08,false,1920820017,,3/12/2016 18:33:32,false,clixsense,1.0,33361128,IND,16,Bhandup,1.22.222.128,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f1,f3,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f3.png
904940172,3/12/2016 18:37:45,false,1920822860,,3/12/2016 18:36:56,false,stuffpoint,1.0,28491668,CHL,12,Santiago,190.160.247.35,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f1,f3,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f3.png
904940172,3/12/2016 18:40:14,false,1920825056,,3/12/2016 18:38:03,false,neodev,1.0,32248046,IND,25,Chennai,163.47.12.142,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f1,f3,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f3.png
904940173,3/12/2016 18:32:23,false,1920818979,,3/12/2016 18:30:12,false,clixsense,1.0,33361128,IND,16,Bhandup,1.22.222.128,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f1,f4,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f4.png
904940173,3/12/2016 18:40:49,false,1920825639,,3/12/2016 18:29:52,false,elite,0.8,33479167,ITA,16,Florence,93.151.226.229,apply online,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f1,f4,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f4.png
904940173,3/12/2016 18:58:08,false,1920847827,,3/12/2016 18:57:37,false,clixsense,1.0,29807478,VEN,06,Upata,181.225.32.36,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f1,f4,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f1.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f4.png
904940174,3/12/2016 22:02:30,false,1920970332,,3/12/2016 22:01:52,false,elite,1.0,36347557,IDN,08,Surabaya,125.164.60.106,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f1,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f1.png
904940174,3/12/2016 22:02:49,false,1920970505,,3/12/2016 22:02:01,false,clixsense,1.0,30140011,EGY,01,Mansoura,197.33.82.51,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f1,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f1.png
904940174,3/12/2016 22:29:48,false,1920980730,,3/12/2016 22:28:14,false,neodev,1.0,30571937,GRC,35,Athens,79.166.130.247,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f1,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f1.png
904940175,3/12/2016 22:03:04,false,1920970571,,3/12/2016 22:02:34,false,elite,1.0,36347557,IDN,08,Surabaya,125.164.60.106,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f2,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f2.png
904940175,3/12/2016 22:05:09,false,1920971399,,3/12/2016 22:02:52,false,clixsense,1.0,30140011,EGY,01,Mansoura,197.33.82.51,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f2,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f2.png
904940175,3/12/2016 22:30:37,false,1920981073,,3/12/2016 22:29:49,false,neodev,1.0,30571937,GRC,35,Athens,79.166.130.247,evaluate,None,None,None,None,None,None,None,None,None,Yes,evaluate,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,7,,,,,,,,,,,f2,f2,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f2.png
904940176,3/12/2016 18:39:41,false,1920824495,,3/12/2016 18:38:44,false,elite,1.0,36322980,ROU,23,Iasi,79.118.82.242,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f3,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f3.png
904940176,3/12/2016 18:42:26,false,1920827237,,3/12/2016 18:40:51,false,elite,0.8,33479167,ITA,16,Florence,93.151.226.229,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f3,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f3.png
904940176,3/12/2016 18:42:29,false,1920827315,,3/12/2016 18:40:16,false,neodev,1.0,32248046,IND,25,Chennai,163.47.12.142,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f3,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f3.png
904940177,3/12/2016 21:46:55,false,1920964090,,3/12/2016 21:45:39,false,elite,1.0,36324094,SRB,00,Belgrade,91.185.126.244,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f4,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f4.png
904940177,3/12/2016 21:57:09,false,1920968256,,3/12/2016 21:54:43,false,elite,1.0,36350388,USA,FL,Fort Myers,76.1.160.19,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,f2,f4,p83,p89,http://galvanic-axle-852.appspot.com/static/taskdesign03/p83-f2.png,http://galvanic-axle-852.appspot.com/static/taskdesign03/p89-f4.png
