task_id,dataset,proc_id_1,proc_id_2,p_overall,r_overall,f_overall,p_match,r_match,f_match,p_part_of,r_part_of,f_part_of
DT_01,3_judgments_incjdgFALSE_1_votes,82,83,0.07211538461538461,0.9375,0.13392857142857142,0.02030456852791878,1,0.039800995024875614,0.05392156862745098,0.9166666666666666,0.10185185185185185
DT_01,3_judgments_incjdgFALSE_1_votes,82,84,0.10344827586206896,0.875,0.18502202643171806,0.016216216216216217,1,0.031914893617021274,0.09,0.8571428571428571,0.16289592760180996
DT_01,3_judgments_incjdgFALSE_1_votes,83,82,0.06481481481481481,0.875,0.12068965517241378,0.019417475728155338,1,0.03809523809523809,0.04716981132075472,0.8333333333333334,0.0892857142857143
DT_01,3_judgments_incjdgFALSE_1_votes,83,89,0.06589147286821706,0.8947368421052632,0.12274368231046932,0.024291497975708502,0.8571428571428571,0.04724409448818898,0.04365079365079365,0.9166666666666666,0.08333333333333333
DT_01,3_judgments_incjdgFALSE_2_votes,82,83,0.08235294117647059,0.4375,0.1386138613861386,0.037037037037037035,0.75,0.07058823529411765,0.04878048780487805,0.3333333333333333,0.0851063829787234
DT_01,3_judgments_incjdgFALSE_2_votes,82,84,0.14666666666666667,0.4583333333333333,0.22222222222222224,0.04477611940298507,1,0.08571428571428572,0.1111111111111111,0.38095238095238093,0.17204301075268819
DT_01,3_judgments_incjdgFALSE_2_votes,83,82,0.10869565217391304,0.625,0.18518518518518517,0.046511627906976744,1,0.08888888888888888,0.06818181818181818,0.5,0.12000000000000001
DT_01,3_judgments_incjdgFALSE_2_votes,83,89,0.11711711711711711,0.6842105263157895,0.19999999999999998,0.057692307692307696,0.8571428571428571,0.1081081081081081,0.06666666666666667,0.5833333333333334,0.11965811965811965
DT_01,3_judgments_incjdgFALSE_3_votes,82,83,0.15,0.1875,0.16666666666666663,0.05555555555555555,0.25,0.0909090909090909,0.10526315789473684,0.16666666666666666,0.12903225806451615
DT_01,3_judgments_incjdgFALSE_3_votes,82,84,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.2727272727272727,0.14285714285714285,0.18749999999999997
DT_01,3_judgments_incjdgFALSE_3_votes,83,82,0.13333333333333333,0.125,0.12903225806451615,0.07142857142857142,0.25,0.11111111111111112,0.07142857142857142,0.08333333333333333,0.07692307692307691
DT_01,3_judgments_incjdgFALSE_3_votes,83,89,0.21428571428571427,0.3157894736842105,0.2553191489361702,0.08333333333333333,0.2857142857142857,0.12903225806451613,0.15384615384615385,0.3333333333333333,0.21052631578947367
DT_01,3_judgments_incjdgTRUE_1_votes,82,83,0.07042253521126761,0.9375,0.1310043668122271,0.019801980198019802,1,0.038834951456310676,0.05263157894736842,0.9166666666666666,0.09954751131221719
DT_01,3_judgments_incjdgTRUE_1_votes,82,84,0.10344827586206896,0.875,0.18502202643171806,0.016216216216216217,1,0.031914893617021274,0.09,0.8571428571428571,0.16289592760180996
DT_01,3_judgments_incjdgTRUE_1_votes,83,82,0.06451612903225806,0.875,0.12017167381974249,0.01932367149758454,1,0.03791469194312796,0.046948356807511735,0.8333333333333334,0.08888888888888889
DT_01,3_judgments_incjdgTRUE_1_votes,83,89,0.06589147286821706,0.8947368421052632,0.12274368231046932,0.024291497975708502,0.8571428571428571,0.04724409448818898,0.04365079365079365,0.9166666666666666,0.08333333333333333
DT_01,3_judgments_incjdgTRUE_2_votes,82,83,0.08139534883720931,0.4375,0.1372549019607843,0.036585365853658534,0.75,0.0697674418604651,0.04819277108433735,0.3333333333333333,0.08421052631578947
DT_01,3_judgments_incjdgTRUE_2_votes,82,84,0.14666666666666667,0.4583333333333333,0.22222222222222224,0.04477611940298507,1,0.08571428571428572,0.1111111111111111,0.38095238095238093,0.17204301075268819
DT_01,3_judgments_incjdgTRUE_2_votes,83,82,0.10869565217391304,0.625,0.18518518518518517,0.046511627906976744,1,0.08888888888888888,0.06818181818181818,0.5,0.12000000000000001
DT_01,3_judgments_incjdgTRUE_2_votes,83,89,0.11711711711711711,0.6842105263157895,0.19999999999999998,0.057692307692307696,0.8571428571428571,0.1081081081081081,0.06666666666666667,0.5833333333333334,0.11965811965811965
DT_01,3_judgments_incjdgTRUE_3_votes,82,83,0.18181818181818182,0.25,0.2105263157894737,0.05263157894736842,0.25,0.08695652173913043,0.14285714285714285,0.25,0.18181818181818182
DT_01,3_judgments_incjdgTRUE_3_votes,82,84,0.3076923076923077,0.16666666666666666,0.21621621621621623,0.1,0.3333333333333333,0.15384615384615383,0.25,0.14285714285714285,0.18181818181818182
DT_01,3_judgments_incjdgTRUE_3_votes,83,82,0.1875,0.1875,0.1875,0.07142857142857142,0.25,0.11111111111111112,0.13333333333333333,0.16666666666666666,0.14814814814814814
DT_01,3_judgments_incjdgTRUE_3_votes,83,89,0.21428571428571427,0.3157894736842105,0.2553191489361702,0.08333333333333333,0.2857142857142857,0.12903225806451613,0.15384615384615385,0.3333333333333333,0.21052631578947367
